DaysSinceLastElection,NextElection,TransactionAmountAdj
1451,2000,138
1451,2000,30.36
1452,2000,331.2
1445,2000,276
1452,2000,1244.76
1444,2000,88.32
1452,2000,8487
1445,2000,471.96
1452,2000,3312
1452,2000,48.3
1445,2000,836.28
1455,2000,2601.3
1445,2000,2346
1445,2000,320.16
1445,2000,77.28
1451,2000,458.16
1452,2000,82.8
1452,2000,436.08
1452,2000,819.72
1451,2000,303.6
1452,2000,70.38
1456,2000,207
1452,2000,138
1452,2000,248.4
1444,2000,690
1444,2000,466.44
1452,2000,198.72
1452,2000,55.2
1451,2000,66.24
1451,2000,57.96
1452,2000,198.72
1452,2000,538.2
1456,2000,844.56
1452,2000,138
1445,2000,1311
1445,2000,2290.8
1452,2000,724.5
1452,2000,45.54
1452,2000,71.76
1452,2000,207
1444,2000,1104
1455,2000,603.06
1445,2000,237.36
1452,2000,6.9
1448,2000,1117.8
1445,2000,7728
1452,2000,220.8
1452,2000,144.9
1445,2000,800.4
1452,2000,99.36
1456,2000,1407.6
1451,2000,104.88
1451,2000,724.5
1452,2000,27.6
1455,2000,1494.54
1452,2000,690
1451,2000,138
1455,2000,441.6
1445,2000,1225.44
1444,2000,614.1
1445,2000,298.08
1452,2000,800.4
1455,2000,4645.08
1456,2000,495.42
1444,2000,5520
1445,2000,219.42
1452,2000,227.7
1452,2000,262.2
1452,2000,131.1
1445,2000,193.2
1452,2000,24.84
1452,2000,288.42
1451,2000,22.08
1452,2000,331.2
1452,2000,131.1
1445,2000,789.36
1451,2000,57.96
1457,2000,772.8
1458,2000,165.6
1455,2000,703.8
1445,2000,169.74
1452,2000,73.14
1456,2000,5796
1445,2000,84.18
1452,2000,258.06
1452,2000,27.6
1445,2000,245.64
1452,2000,318.78
1448,2000,276
1455,2000,372.6
1452,2000,107.64
1451,2000,124.2
1451,2000,293.94
1444,2000,71.76
1448,2000,633.42
1444,2000,193.2
1451,2000,34.5
1445,2000,120.06
1451,2000,621
1452,2000,276
1451,2000,34.5
1451,2000,262.2
1452,2000,379.5
1458,2000,183540
1451,2000,41.4
1452,2000,1642.2
1452,2000,23.46
1452,2000,176.64
1452,2000,623.76
1444,2000,103.5
1444,2000,33.12
1445,2000,154.56
1458,2000,2086.56
1451,2000,201.48
1455,2000,869.4
